positionName,positionType,workLocation,salary,experienceRequirements,educationRequirements
C++基础架构软件工程师,c-c++,广州,30000-60000,3-5年,本科
高级游戏服务端开发工程师,c-c++,广州,20000-40000,3-5年,本科
嵌入式软件工程师(Linux应用),c-c++,黄埔区,15000-30000,3-5年,本科
应用软件开发工程师,c-c++,南沙区,13000-20000,3-5年,本科
C++主讲,c-c++,广州,20000-30000,3-5年,本科
游戏服务端开发工程师（工作地在福州）,c-c++,天河区,15000-30000,3-5年,本科
CAD系统开发工程师,c-c++,番禺区,15000-30000,3-5年,本科
高级工具客户端,c-c++,广州,25000-35000,3-5年,本科
视觉软件开发工程师,c-c++,南沙区,14000-23000,3-5年,本科
反编译开发工程师,c-c++,广州,15000-20000,3-5年,本科
软件标定工程师,c-c++,广州,20000-30000,3-5年,本科
中级C++开发工程师,c-c++,天河区,12000-24000,3-5年,本科
客户端性能优化工程师,c-c++,广州,12000-20000,3-5年,本科
c++开发,c-c++,白云区,14000-22000,3-5年,大专
HPC调优开发工程师+全额五险一金+双休15薪,c-c++,黄埔区,17000-30000,3-5年,本科
游戏Erlang后端开发工程师,c-c++,黄埔区,15000-30000,3-5年,本科
c++高级软件工程师,c-c++,黄埔区,18000-25000,3-5年,本科
c++高级研发工程师,c-c++,番禺区,14000-25000,3-5年,本科
C++开发工程师,c-c++,天河区,11000-22000,3-5年,本科
智能信息-播放器内核研发,c-c++,海珠区,25000-50000,3-5年,本科
资深游戏服务器开发,c-c++,天河区,20000-35000,3-5年,本科
c++服务器,c-c++,广州,30000-40000,3-5年,本科
c++开发工程师,c-c++,广州,18000-25000,3-5年,本科
windows逆向开发,c-c++,天河区,25000-30000,3-5年,大专
数据安全开发工程师,c-c++,天河区,15000-30000,3-5年,本科
c++开发工程师,c-c++,天河区,10000-15000,3-5年,大专
客户端性能优化工程师,c-c++,广州,55000-65000,3-5年,本科
c++开发工程师(大疆无人机),c-c++,天河区,15000-20000,3-5年,大专
C++软件工程师,c-c++,天河区,20000-30000,3-5年,本科
c++后端开发工程师,c-c++,荔湾区,12000-18000,3-5年,大专
C++软件开发工程师,c-c++,黄埔区,15000-18000,3-5年,本科
C++开发工程师,c-c++,天河区,15000-25000,3-5年,本科
c++高级研发工程师,c-c++,番禺区,5000-10000,3-5年,本科
C++图形软件工程师,c-c++,黄埔区,18000-25000,3-5年,本科
嵌入式软件开发工程师,c-c++,黄埔区,15000-20000,3-5年,本科
高级逆向工程师,c-c++,天河区,15000-30000,3-5年,大专
高级C++开发（OCC开发）,c-c++,天河区,20000-28000,3-5年,本科
ros机器人工程师,c-c++,天河区,13000-16000,3-5年,本科
高级软件工程师,c-c++,广州,18000-35000,3-5年,大专
自动驾驶C++软件工程师,c-c++,广州,45000-75000,3-5年,本科
高级C++服务端开发工程师,c-c++,天河区,16000-20000,3-5年,本科
c++游戏服务器开发工程师,c-c++,天河区,15000-18000,3-5年,大专
软件工程师,c-c++,番禺区,12000-18000,3-5年,大专
软件工程师,c-c++,广州,15000-30000,3-5年,本科
EMS软件工程师,c-c++,番禺区,15000-25000,3-5年,本科
C工程师（广州）,c-c++,黄埔区,16000-30000,3-5年,大专
Rust 开发工程师,c-c++,海珠区,20000-30000,3-5年,本科
高级后端开发工程师,c-c++,海珠区,15000-30000,3-5年,本科
软件工程师,c-c++,黄埔区,12000-20000,3-5年,本科
云存储研发工程师,c-c++,番禺区,10000-11000,3-5年,本科
整车厂电驱动系统-软件&算法开发,c-c++,广州,18000-25000,3-5年,本科
游戏服务端,c-c++,天河区,15000-20000,3-5年,大专
C/C++,c-c++,番禺区,30000-35000,3-5年,本科
c++开发工程师,c-c++,广州,14000-18000,3-5年,本科
单片机工程师,c-c++,南沙区,10000-15000,3-5年,大专
测试开发工程师,c-c++,海珠区,12000-15000,3-5年,本科
c++服务器,c-c++,天河区,15000-18000,3-5年,本科
虚拟化开发工程师,c-c++,天河区,30000-50000,3-5年,本科
游戏后端开发skynet ，lua,c-c++,天河区,12000-15000,3-5年,大专
C++高级软件工程师,c-c++,番禺区,18000-28000,3-5年,本科
C++开发工程师,c-c++,黄埔区,20000-30000,3-5年,本科
c/c++开发工程师,c-c++,番禺区,7000-12000,3-5年,本科
软件工程师（图像处理、图形、自动化）,c-c++,广州,30000-40000,3-5年,本科
pc软件工程师,c-c++,番禺区,11000-20000,3-5年,大专
C++ 软件开发工程师,c-c++,黄埔区,15000-20000,3-5年,大专
游戏前后端全栈开发工程师,c-c++,天河区,15000-25000,3-5年,大专
qt开发工程师,c-c++,黄埔区,12000-20000,3-5年,大专
游戏服务端开发工程师,c-c++,天河区,18000-28000,3-5年,本科
高级服务端开发（lua+skynet）,c-c++,天河区,15000-20000,3-5年,本科
flutter引擎高级开发工程师（大厂/专场）,c-c++,广州,20000-40000,3-5年,本科
C++ 软件开发工程师,c-c++,黄埔区,12000-18000,3-5年,本科
c++老师,c-c++,黄埔区,11000-20000,3-5年,本科
C++开发工程师,c-c++,黄埔区,15000-20000,3-5年,本科
C++开发工程师,c-c++,海珠区,18000-25000,3-5年,本科
c++工程师,c-c++,广州,10000-15000,3-5年,本科
游戏服务端开发,c-c++,天河区,11000-16000,3-5年,本科
QT软件工程师,c-c++,黄埔区,8000-12000,3-5年,本科
C++服务端,c-c++,天河区,13000-18000,3-5年,大专
后台开发(搜索),c-c++,天河区,28000-40000,3-5年,本科
单片机软件工程师,c-c++,番禺区,15000-25000,3-5年,本科
软件开发工程师,c-c++,番禺区,10000-15000,3-5年,本科
软件工程师,c-c++,黄埔区,10000-15000,3-5年,大专
急招C++开发 广州,c-c++,黄埔区,13000-18000,3-5年,本科
高级系统研发工程师,c-c++,黄埔区,20000-35000,3-5年,本科
游戏服务器开发工程师,c-c++,广州,20000-40000,3-5年,本科
c++工程师,c-c++,天河区,14000-18000,3-5年,本科
Qt客户端开发工程师,c-c++,越秀区,15000-22000,3-5年,大专
游戏服务端工程师,c-c++,天河区,12000-18000,3-5年,大专
上位机开发工程师,c-c++,番禺区,15000-30000,3-5年,本科
游戏服务器,c-c++,广州,25000-50000,3-5年,本科
c++服务端开发,c-c++,黄埔区,12000-20000,3-5年,本科
游戏服务端高级工程师,c-c++,海珠区,15000-25000,3-5年,大专
C/C++开发工程师,c-c++,黄埔区,15000-30000,3-5年,本科
高级嵌入式软件开发工程师,c-c++,广州,15000-30000,3-5年,本科
linux应用工程师,c-c++,广州,20000-30000,3-5年,本科
C/C++软件开发工程师,c-c++,广州,25000-35000,3-5年,本科
游戏服务器开发（base厦门）,c-c++,黄埔区,12000-24000,3-5年,本科
单片机开发工程师,c-c++,黄埔区,10000-15000,3-5年,本科
linuxc++开发工程师,c-c++,黄埔区,10000-15000,3-5年,本科
高级服务器开发,c-c++,海珠区,20000-30000,3-5年,本科
linux高级开发工程师（广州）,c-c++,广州,25000-30000,3-5年,本科
游戏后端开发工程师,c-c++,天河区,11000-22000,3-5年,大专
软件开发主管,c-c++,增城区,10000-15000,3-5年,本科
软件开发工程师（C++）国企 金融互联网行业,c-c++,广州,20000-40000,3-5年,本科
c++开发工程师,c-c++,番禺区,15000-30000,3-5年,本科
c++开发工程师（央企直属，信创赛道）,c-c++,广州,18000-25000,3-5年,本科
音响软件工程师,c-c++,广州,20000-25000,3-5年,大专
C/C++软件开发工程师,c-c++,番禺区,10000-12000,3-5年,本科
研发工程师,c-c++,南沙区,11000-15000,3-5年,本科
C++转go,c-c++,广州,30000-40000,3-5年,本科
资深服务端开发工程师,c-c++,广州,25000-40000,3-5年,本科
C/C++,c-c++,广州,25000-45000,3-5年,本科
游戏服务端开发,c-c++,天河区,11000-16000,3-5年,本科
软件开发工程师（C++）,c-c++,广州,20000-40000,3-5年,本科
c++开发工程师,c-c++,番禺区,10000-15000,3-5年,大专
C++软件开发工程师（流媒体）:双休+社保,c-c++,广州,18000-35000,3-5年,本科
C,c-c++,增城区,8000-13000,3-5年,本科
平台软件研发工程师,c-c++,广州,20000-30000,3-5年,本科
c++,c-c++,番禺区,13000-18000,3-5年,大专
自动驾驶软件开发工程师,c-c++,南沙区,12000-20000,3-5年,本科
高级服务端开发工程师,c-c++,海珠区,24000-45000,3-5年,本科
C++    上位机软件工程师,c-c++,黄埔区,15000-30000,3-5年,本科
Linux C开发工程师-广州,c-c++,天河区,15000-25000,3-5年,本科
C++开发工程师,c-c++,越秀区,20000-30000,3-5年,本科
c++开发工程师,c-c++,天河区,25000-35000,3-5年,本科
酷狗音乐后端开发工程师（搜索）,c-c++,天河区,20000-40000,3-5年,本科
计算引擎 / 存储引擎 研发工程师,c-c++,海珠区,35000-65000,3-5年,本科
C++开发工程师,c-c++,天河区,11000-16000,3-5年,本科
高级虚拟化研发工程师,c-c++,广州,30000-60000,3-5年,本科
QT开发工程师,c-c++,黄埔区,8000-10000,3-5年,大专
C++开发工程师（客户端）,c-c++,海珠区,30000-60000,3-5年,本科
C++服务端开发工程师,c-c++,广州,25000-40000,3-5年,本科
游戏服务器c++,c-c++,广州,30000-60000,3-5年,本科
c++高级软件工程师,c-c++,广州,20000-30000,3-5年,本科
C＋＋开发工程师,c-c++,广州,12000-24000,3-5年,本科
高级虚拟化研发工程师,c-c++,广州,30000-60000,3-5年,本科
c++高级软件工程师,c-c++,天河区,10000-11000,3-5年,本科
游戏服务器开发,c-c++,天河区,15000-27000,3-5年,大专
c++开发工程师,c-c++,广州,25000-26000,3-5年,本科
游戏客户端开发工程师,c-c++,广州,25000-40000,3-5年,本科
游戏unity客户端开发工程师,c-c++,广州,30000-50000,3-5年,本科
软件C++工程师,c-c++,黄埔区,15000-30000,3-5年,本科
游戏服务器开发工程师 (MJ000171),c-c++,天河区,12000-20000,3-5年,大专
音频算法工程师,c-c++,天河区,20000-40000,3-5年,本科
软件工程师,c-c++,广州,20000-25000,3-5年,本科
嵌入式软件开发工程师,c-c++,广州,20000-30000,3-5年,本科
c++中级开发工程师(广州华星光电),c-c++,广州,15000-25000,3-5年,大专
Linux C/C++开发工程师（中高级）,c-c++,广州,25000-45000,3-5年,本科
虚拟化开发工程师,c-c++,广州,25000-30000,3-5年,本科
linux应用开发工程师,c-c++,广州,20000-30000,3-5年,本科
软件开发工程师,c-c++,南沙区,25000-40000,3-5年,本科
系统研发工程师,c-c++,海珠区,20000-40000,3-5年,本科
软件工程师,c-c++,南沙区,11000-20000,3-5年,本科
嵌入式软件工程师,c-c++,广州,18000-35000,3-5年,本科
QNX开发工程师,c-c++,广州,18000-30000,3-5年,本科
游戏服务端开发(lua+skynet）,c-c++,天河区,16000-23000,3-5年,本科
游戏服务器开发,c-c++,广州,20000-24000,3-5年,本科
汽车诊断软件开发工程师,c-c++,黄埔区,8000-13000,3-5年,本科
后端研发工程师,c-c++,越秀区,15000-30000,3-5年,本科
鲲鹏FAE,c-c++,越秀区,11000-18000,3-5年,本科
游戏服务端开发,c-c++,天河区,20000-30000,3-5年,本科
智驾仿真开发主管工程师,c-c++,广州,30000-50000,3-5年,本科
Win C 研发工程师,c-c++,海珠区,17000-30000,3-5年,大专
qt工程师,c-c++,天河区,12000-20000,3-5年,本科
C++软件工程师（机械臂运动控制方向）,c-c++,白云区,13000-23000,3-5年,本科
软件开发工程师（C++）-福利待遇好,c-c++,广州,16000-30000,3-5年,本科
QT界面开发工程师（双休全额社保福利好）,c-c++,黄埔区,20000-25000,3-5年,大专
webrtc开发工程师,c-c++,黄埔区,15000-25000,3-5年,大专
C++服务端工程师,c-c++,天河区,11000-22000,3-5年,本科
高级游戏服务端开发,c-c++,海珠区,15000-30000,3-5年,本科
游戏后台开发工程师,c-c++,海珠区,15000-30000,3-5年,本科
高级服务端开发工程师,c-c++,天河区,20000-30000,3-5年,大专
c/c++开发工程师,c-c++,天河区,20000-40000,3-5年,本科
自动驾驶C++软件工程师,c-c++,海珠区,21000-40000,3-5年,本科
游戏服务端主程,c-c++,天河区,25000-35000,3-5年,本科
中高级游戏服务端开发工程师,c-c++,天河区,11000-18000,3-5年,本科
c++服务端开发工程师,c-c++,天河区,13000-20000,3-5年,本科
lua游戏开发工程师,c-c++,天河区,15000-25000,3-5年,本科
软件工程师,c-c++,海珠区,15000-18000,3-5年,本科
kanzi开发工程师(JBG7P),c-c++,番禺区,12000-20000,3-5年,本科
c++开发工程师,c-c++,番禺区,12000-24000,3-5年,本科
服务器,c-c++,广州,25000-40000,3-5年,本科
pc客户端开发工程师,c-c++,南沙区,10000-15000,3-5年,本科
游戏开发程序员 （服务端）,c-c++,天河区,15000-30000,3-5年,本科
自动驾驶软件开发Linux/C++方向,c-c++,天河区,25000-40000,3-5年,本科
c++软件开发工程师,c-c++,黄埔区,12000-20000,3-5年,本科
游戏服务器开发,c-c++,广州,20000-40000,3-5年,本科
LinuxC/C++研发工程师（中级）,c-c++,天河区,13000-20000,3-5年,本科
嵌入式软件-域控-SOA,c-c++,花都区,14000-28000,3-5年,本科
游戏服务器开发（双休）,c-c++,黄埔区,13000-25000,3-5年,本科
c++软件工程师,c-c++,天河区,18000-30000,3-5年,本科
马达仿真工程师（摄像头，镜头、音圈马达）,c-c++,广州,20000-30000,3-5年,大专
分布式kv存储工程师,c-c++,广州,40000-60000,3-5年,本科
中级软件工程师（SP方向）,c-c++,黄埔区,13000-18000,3-5年,本科
C++开发工程师（音视频）-广州(J10169),c-c++,天河区,15000-30000,3-5年,本科
蚂蚁集团-中间件 - 持续性能剖析产品研发,c-c++,海珠区,30000-60000,3-5年,本科
游戏服务端开发,c-c++,天河区,15000-25000,3-5年,大专
游戏服务端开发,c-c++,天河区,10000-15000,3-5年,大专
游戏服务器,c-c++,广州,30000-50000,3-5年,本科
C++,c-c++,广州,10000-15000,3-5年,本科
自动化脚本开发,c-c++,越秀区,15000-20000,3-5年,大专
C＋＋开发工程师,c-c++,天河区,13000-18000,3-5年,本科
高级/资深服务端开发工程师,c-c++,天河区,25000-35000,3-5年,本科
虚拟化开发工程师（KVM）,c-c++,天河区,18000-35000,3-5年,本科
linux应用开发工程师,c-c++,黄埔区,15000-30000,3-5年,本科
C++高级工程师,c-c++,番禺区,11000-12000,3-5年,本科
C++开发工程师,c-c++,黄埔区,13000-18000,3-5年,本科
高级~资深桌面研发工程师（职级可谈）,c-c++,天河区,20000-40000,3-5年,本科
高级c++开发工程师,c-c++,番禺区,15000-22000,3-5年,本科
CAD开发工程师,c-c++,黄埔区,15000-25000,3-5年,本科
鸣潮-游戏服务端开发（关卡方向）,c-c++,海珠区,20000-40000,3-5年,本科
高级c++开发工程师,c-c++,天河区,25000-35000,3-5年,本科
急聘 C++游戏服务端开发,c-c++,天河区,12000-20000,3-5年,大专
C/C++开发工程师,c-c++,海珠区,20000-40000,3-5年,本科
地图引擎开发工程师（A141549）,c-c++,黄埔区,20000-40000,3-5年,本科
游戏客户端开发（c++）,c-c++,天河区,30000-45000,3-5年,本科
游戏客户端主程,c-c++,天河区,23000-26000,3-5年,本科
c++后端开发（音视频）,c-c++,天河区,15000-25000,3-5年,本科
弱网对抗工程师（体验优化方向）,c-c++,广州,25000-40000,3-5年,本科
C++（图像经验）,c-c++,广州,18000-25000,3-5年,本科
C/C++,c-c++,天河区,15000-30000,3-5年,本科
C++开发工程师（人体动捕方向）,c-c++,天河区,15000-25000,3-5年,本科
机器人视觉软件开发工程师,c-c++,广州,20000-35000,3-5年,本科
上位机工程师,c-c++,黄埔区,11000-18000,3-5年,本科
嵌入式软件-域控-场景引擎,c-c++,花都区,25000-35000,3-5年,本科
游戏服务端（厦门办公）,c-c++,白云区,13000-20000,3-5年,本科
c++高级软件工程师,c-c++,南沙区,15000-25000,3-5年,本科
微信视频号推荐后台开发工程师(广州),c-c++,天河区,40000-70000,3-5年,本科
C++(外企汇丰),c-c++,天河区,15000-22000,3-5年,本科
广州C++开发工程师,c-c++,黄埔区,18000-28000,3-5年,本科
高级嵌入式软件开发工程师,c-c++,广州,30000-35000,3-5年,本科
嵌入式软件,c-c++,黄埔区,15000-25000,3-5年,本科
数据库内核开发工程师-- 存储引擎,c-c++,天河区,20000-40000,3-5年,本科
系统研发⼯程师（分布式系统、云相关）,c-c++,广州,30000-60000,3-5年,本科
高级游戏引擎开发工程师,c-c++,广州,30000-50000,3-5年,本科
C++ Qt/QML开发工程师,c-c++,黄埔区,10000-15000,3-5年,大专
软件开发工程师,c-c++,天河区,18000-20000,3-5年,本科
嵌入式软件-域控-SOA,c-c++,花都区,15000-25000,3-5年,大专
Linux应用开发工程师,c-c++,广州,15000-30000,3-5年,本科
c++游戏服务器开发,c-c++,天河区,12000-22000,3-5年,大专
高级分布式存储高级工程师,c-c++,越秀区,30000-60000,3-5年,本科
hmi开发工程师,c-c++,花都区,14000-25000,3-5年,本科
模型部署工程师,c-c++,海珠区,15000-25000,3-5年,本科
资深C++研发工程师,c-c++,荔湾区,20000-30000,3-5年,本科
软件开发工程师,c-c++,海珠区,15000-30000,3-5年,本科
高级游戏服务器开发工程师,c-c++,广州,20000-35000,3-5年,本科
C++（外资银行+英语好）,c-c++,广州,15000-25000,3-5年,本科
c++高级软件工程师-广州,c-c++,荔湾区,13000-18000,3-5年,本科
游戏服务端开发工程师,c-c++,广州,20000-35000,3-5年,本科
高级游戏服务器开发,c-c++,天河区,12000-15000,3-5年,大专
核心网开发工程师,c-c++,黄埔区,12000-22000,3-5年,本科
LabVIEW软件工程师,c-c++,番禺区,9000-13000,3-5年,本科
软件工程师,c-c++,增城区,15000-20000,3-5年,大专
C＋＋开发工程师（客户端）,c-c++,海珠区,15000-25000,3-5年,本科
C++开发工程师（医疗）,c-c++,番禺区,13000-20000,3-5年,本科
GO研发经理,c-c++,广州,30000-40000,3-5年,本科
初中级游戏服务器开发,c-c++,天河区,15000-20000,3-5年,大专
高级游戏服务端开发工程师（erlang主程）,c-c++,天河区,15000-25000,3-5年,大专
CAM软件开发工程师,c-c++,广州,13000-26000,3-5年,本科
高级qt开发工程师,c-c++,荔湾区,18000-22000,3-5年,本科
软件工程师（平台方向）C++ Linux,c-c++,白云区,20000-30000,3-5年,本科
软件工程师,c-c++,南沙区,10000-15000,3-5年,本科
PC软件工程师,c-c++,南沙区,16000-25000,3-5年,大专
软件工程师,c-c++,南沙区,15000-30000,3-5年,本科
国网表软件开发工程师,c-c++,荔湾区,10000-15000,3-5年,本科
CAD开发工程师,c-c++,天河区,15000-25000,3-5年,本科
qt工程师,c-c++,番禺区,15000-22000,3-5年,本科
Android Framework开发-someip（外包）,c-c++,广州,20000-21000,3-5年,本科
嵌入式软件工程师（单片机MCU）,c-c++,黄埔区,13000-18000,3-5年,大专
c++,c-c++,黄埔区,15000-30000,3-5年,本科
c++开发工程师,c-c++,广州,15000-25000,3-5年,本科
C++开发工程师,c-c++,广州,15000-25000,3-5年,本科
C++开发工程师,c-c++,黄埔区,10000-15000,3-5年,本科
应用开发工程师（c/c++）,c-c++,白云区,15000-20000,3-5年,本科
机器人软件工程师(J10240),c-c++,黄埔区,18000-35000,3-5年,本科
C++开发工程师（双休）,c-c++,越秀区,18000-25000,3-5年,本科
游戏服务端主程,c-c++,天河区,20000-40000,3-5年,本科
游戏服务端主程,c-c++,天河区,20000-35000,3-5年,本科
C/C++开发工程师,c-c++,黄埔区,20000-25000,3-5年,本科
QT开发工程师,c-c++,黄埔区,12000-24000,3-5年,本科
游戏服务器开发,c-c++,广州,25000-35000,3-5年,本科
自动控制研发-AGV方向,c-c++,番禺区,15000-25000,3-5年,本科
高级c++工程师,c-c++,黄埔区,20000-30000,3-5年,本科
c++音视频开发工程师,c-c++,天河区,16000-22000,3-5年,本科
中级QT/C++程序员,c-c++,海珠区,11000-22000,3-5年,大专
UE引擎开发(构建系统/构建优化工具向）,c-c++,海珠区,50000-80000,3-5年,本科
QT开发工程师,c-c++,黄埔区,15000-25000,3-5年,本科
游戏引擎开发,c-c++,广州,30000-60000,3-5年,本科
机器人视觉软件研发工程师（中高级）,c-c++,黄埔区,22000-35000,3-5年,本科
软件开发工程师（MRCP方向）,c-c++,天河区,15000-30000,3-5年,本科
C++中高级开发工程师,c-c++,广州,18000-25000,3-5年,本科
软件测控工程师,c-c++,黄埔区,15000-25000,3-5年,本科
UE4蓝图,c-c++,天河区,5000-10000,3-5年,大专
平台研发工程师,c-c++,天河区,25000-40000,3-5年,本科
资深C++开发工程师,c-c++,黄埔区,20000-35000,3-5年,本科
C++软件开发工程师,c-c++,增城区,15000-25000,3-5年,本科
嵌入式软件工程师（双休）,c-c++,荔湾区,10000-15000,3-5年,本科
软件开发工程师（C++）,c-c++,广州,15000-30000,3-5年,本科
中级c++开发工程师-稳定不卷,c-c++,广州,20000-25000,3-5年,本科
流媒体开发（C++开发+音视频开发+平台稳定,c-c++,广州,17000-30000,3-5年,大专
应用开发工程师,golang,白云区,10000-15000,3-5年,大专
资深golang开发工程师（支付）,golang,天河区,20000-40000,3-5年,本科
go 语言,golang,越秀区,15000-25000,3-5年,大专
后端开发,golang,天河区,13000-18000,3-5年,大专
服务器开发工程师（base武汉）,golang,天河区,15000-25000,3-5年,本科
高级go开发工程师,golang,番禺区,20000-25000,3-5年,本科
后端工程师,golang,广州,30000-50000,3-5年,本科
服务端开发工程师,golang,天河区,17000-30000,3-5年,本科
Golang,golang,广州,40000-65000,3-5年,本科
高级后端开发工程师,golang,天河区,20000-30000,3-5年,本科
游戏Go服务器开发工程师,golang,广州,30000-60000,3-5年,本科
系统开发工程师【南沙】,golang,南沙区,15000-16000,3-5年,本科
golang开发工程师,golang,广州,15000-20000,3-5年,本科
Golang,golang,荔湾区,20000-30000,3-5年,大专
服务器开发,golang,广州,30000-55000,3-5年,本科
后端开发高级工程师（IoT）,golang,天河区,20000-40000,3-5年,本科
go开发工程师,golang,天河区,12000-17000,3-5年,本科
高级后台开发,golang,天河区,30000-60000,3-5年,本科
后台开发,golang,南沙区,20000-30000,3-5年,大专
资深游戏研发工程师（在研超英卡牌RPG）,golang,广州,25000-35000,3-5年,本科
Golang开发工程师（广州）,golang,海珠区,15000-25000,3-5年,本科
go开发工程师,golang,广州,30000-40000,3-5年,本科
后台开发工程师(golang游戏),golang,天河区,28000-40000,3-5年,本科
后端开发工程师-LBA People Talent,golang,海珠区,20000-40000,3-5年,本科
服务器后端主程（常驻长沙）,golang,天河区,20000-40000,3-5年,本科
golang工程师,golang,越秀区,12000-24000,3-5年,本科
PaaS后端开发工程师,golang,增城区,25000-30000,3-5年,本科
高级go后台工程师,golang,天河区,15000-30000,3-5年,本科
后端开发工程师,golang,广州,40000-50000,3-5年,本科
golang后端开发工程师,golang,天河区,15000-30000,3-5年,本科
Golang开发工程师,golang,天河区,12000-24000,经验不限,本科
Golang开发工程师,golang,越秀区,12000-15000,1-3年,本科
服务端开发工程师,golang,天河区,15000-25000,1-3年,大专
