positionName,positionType,workLocation,salary,experienceRequirements,educationRequirements
中级php开发工程师,php,黄埔区,10000-15000,3-5年,本科
高级PHP开发工程师,php,番禺区,10000-15000,3-5年,本科
php开发工程师（广告投放模块）,php,海珠区,13000-20000,3-5年,本科
PHP开发工程师（游戏发行）,php,天河区,13000-17000,3-5年,本科
PHP高级开发工程师,php,天河区,15000-20000,3-5年,大专
php开发工程师,php,天河区,10000-15000,3-5年,本科
PHP 开发工程师,php,广州,20000-22000,3-5年,本科
php JavaScript html资深工程师,php,番禺区,3000-8000,1-3年,本科
招PHP全栈工程师,php,白云区,15000-20000,5-10年,大专
PHP工程师【六险一金|双休】,php,海珠区,11000-13000,1-3年,本科
php开发工程师/自研/C轮/千万级用户,php,天河区,11000-15000,1-3年,大专
游戏PHP开发工程师（双休+氛围好）,php,番禺区,8000-12000,1-3年,本科
PHP开发工程师,php,白云区,11000-17000,5-10年,本科
PHP开发工程师,php,广州,10000-15000,5-10年,大专
高级php开发（双休+非外包）,php,荔湾区,12000-18000,5-10年,大专
php游戏后台开发,php,天河区,6000-11000,1-3年,本科
php后端开发,php,番禺区,5000-10000,1-3年,学历不限
PHP开发工程师（短剧业务/广告业务）,php,海珠区,15000-20000,3-5年,本科
诚聘 初中级PHP开发大佬（swoole项目经验),php,天河区,9000-14000,1-3年,大专
PHP开发经理（短剧）,php,海珠区,20000-35000,5-10年,本科
PHP开发组长（研发后台/广告平台）,php,海珠区,20000-25000,5-10年,本科
PHP开发经理,php,海珠区,25000-35000,5-10年,本科
Python开发工程师,python,番禺区,10000-15000,3-5年,本科
python后端开发,python,广州,16000-24000,3-5年,大专
Python开发,python,越秀区,11000-19000,3-5年,大专
资深游戏客户端开发工程师,python,广州,30000-50000,3-5年,本科
python后端开发工程师,python,番禺区,3000-6000,3-5年,本科
外企银行正编，Python Engineer,python,广州,25000-30000,3-5年,本科
python工程师,python,天河区,10000-15000,3-5年,本科
软件工程师,python,番禺区,10000-15000,3-5年,本科
硬件python,python,越秀区,9000-13000,3-5年,大专
odoo开发工程师,python,南沙区,10000-15000,3-5年,本科
python（Java）,python,黄埔区,10000-15000,3-5年,本科
六险二金！向量检索平台开发工程师,python,广州,25000-35000,3-5年,本科
初中高级Python工程师,python,广州,15000-25000,3-5年,本科
python高级开发工程师,python,白云区,25000-35000,3-5年,本科
后端 Python 开发,python,广州,20000-21000,3-5年,本科
python,python,广州,20000-22000,3-5年,大专
高级python开发工程师,python,天河区,16000-20000,3-5年,本科
后端 Python 开发(中高级）,python,广州,20000-21000,3-5年,本科
高级Python开发（容器）,python,广州,20000-25000,3-5年,本科
Python开发,python,白云区,11000-13000,3-5年,大专
python讲师,python,天河区,10000-15000,3-5年,本科
Python高级开发工程师,python,广州,15000-25000,3-5年,本科
python开发,python,天河区,8000-13000,3-5年,大专
Python后端开发,python,番禺区,20000-40000,3-5年,本科
高级python开发工程师,python,海珠区,20000-30000,3-5年,本科
python高级开发工程师,python,广州,25000-30000,3-5年,本科
python开发,python,广州,20000-30000,3-5年,本科
python后端工程师（广州）,python,天河区,10000-12000,3-5年,本科
python数据分析工程师,python,天河区,5000-10000,3-5年,本科
Python/GO服务端开发（广州/杭州/北京）,python,广州,20000-40000,3-5年,本科
游戏工具开发（大平台+福利好）,python,天河区,12000-18000,1-3年,本科
游戏开发（我的世界）,python,海珠区,9000-14000,经验不限,大专
量化策略开发工程师,python,海珠区,15000-20000,1-3年,本科
AI数据工程师,python,天河区,10000-15000,1-3年,本科
Python,python,海珠区,7000-12000,1-3年,本科
python开发工程师,python,黄埔区,13000-18000,5-10年,大专
后端开发工程师,python,广州,30000-50000,3-5年,硕士
Python,python,白云区,12000-13000,3-5年,硕士
rpa开发工程师,python,白云区,7000-12000,1-3年,本科
高级游戏服务器开发工程师,python,广州,25000-35000,5-10年,本科
python专家,python,广州,50000-80000,经验不限,本科
python工程师,python,白云区,10000-15000,1-3年,本科
高级存储开发工程师,python,南沙区,40000-55000,5-10年,本科
RPA（影刀）开发工程师,python,白云区,7000-10000,1年以内,本科
数据开发工程师,python,海珠区,25000-50000,经验不限,大专
python开发 （现场面试1轮+易过面）,python,越秀区,10000-13000,1-3年,本科
Compiler编译器开发工程师,python,海珠区,20000-35000,1-3年,本科
python开发工程师,python,天河区,10000-15000,1-3年,大专
测试装备开发工程师,python,黄埔区,12000-18000,5-10年,本科
影刀/uibot/RPA开发（线上办公）,python,天河区,3000-6000,1-3年,本科
爬虫工程师,python,番禺区,15000-25000,1-3年,本科
Python WEB工程师,python,海珠区,4000-8000,经验不限,大专
云平台开发工程师,python,天河区,20000-40000,5-10年,本科
Python后端工程师,python,白云区,11000-22000,1-3年,本科
Python工程师,python,番禺区,15000-25000,1-3年,本科
python后端开发工程师,python,番禺区,9000-13000,1-3年,本科
python开发工程师,python,越秀区,11000-18000,1-3年,大专
中级python开发工程师,python,海珠区,7000-12000,1-3年,本科
数据科学家,python,广州,20000-40000,3-5年,硕士
高级开发工程师,python,番禺区,15000-25000,5-10年,本科
Python,python,天河区,12000-14000,3-5年,本科
高级大数据开发工程师,python,广州,30000-45000,3-5年,本科
python开发/双休/证券假,python,天河区,13000-17000,3-5年,本科
大数据分析工程师,python,天河区,8000-11000,3-5年,本科
python开发工程师,python,黄埔区,8000-13000,3-5年,大专
Python初/中/高级（广州）,python,广州,15000-25000,3-5年,本科
python程序员,python,番禺区,5000-8000,3-5年,高中
高级逆向工程师,python,广州,20000-40000,3-5年,本科
初级python开发工程师（广州）,python,天河区,9000-12000,3-5年,本科
游戏服务端开发工程师,python,广州,20000-40000,3-5年,本科
python高级开发工程师,python,海珠区,15000-20000,3-5年,本科
rpa工程师,python,黄埔区,11000-15000,3-5年,大专
初中级Python开发（农行上班）,python,番禺区,11000-16000,3-5年,本科
python开发工程师（初/中/高级）,python,越秀区,12000-18000,3-5年,大专
高级游戏后端开发工程师,python,黄埔区,20000-40000,3-5年,本科
AI虚拟数字人交互一体机开发工程师,python,海珠区,5000-15000,3-5年,本科
python开发工程师,python,广州,16000-26000,3-5年,大专
人工智能架构师,python,广州,30000-40000,3-5年,本科
大模型应用开发工程师,python,黄埔区,14000-18000,3-5年,本科
量化策略工程师,python,天河区,15000-16000,3-5年,本科
高级后端开发工程师（入职购买五险）,python,番禺区,15000-18000,3-5年,本科
机器人软件集成工程师,python,海珠区,25000-50000,3-5年,本科
python工程师,python,天河区,8000-12000,3-5年,大专
运维（环境好，不加班，RPA ）,python,黄埔区,11000-12000,3-5年,本科
泰国后端开发工程师（需驻外）,python,天河区,20000-40000,3-5年,本科
python开发,python,天河区,15000-22000,3-5年,本科
python兼职,python,天河区,8000-13000,3-5年,大专
Python开发工程师（8-15k）,python,番禺区,8000-13000,3-5年,本科
平台开发工程师,python,天河区,15000-25000,3-5年,大专
后端开发工程师-广告投放平台,python,天河区,12000-24000,3-5年,本科
高级后端开发工程师,python,广州,40000-65000,3-5年,本科
python开发工程师,python,天河区,12000-18000,3-5年,本科
高级后端工程师,python,天河区,20000-40000,3-5年,本科
游戏客户端开发工程师,python,黄埔区,20000-40000,3-5年,本科
中级python工程师,python,天河区,10000-15000,3-5年,本科
Python开发工程师（算法方向）,python,海珠区,15000-20000,3-5年,本科
python服务端开发,python,天河区,13000-20000,3-5年,本科
高级后端开发工程师（AI方向）,python,天河区,11000-20000,3-5年,本科
Python工程师,python,天河区,12000-18000,3-5年,本科
中级python开发工程师,python,黄埔区,12000-24000,3-5年,本科
python后端开发工程师,python,番禺区,20000-40000,3-5年,本科
Python 工程师 -金融/银行背景优先,python,广州,20000-30000,3-5年,本科
Python后端开发工程师,python,天河区,15000-18000,3-5年,本科
python开发工程师（远程面试，东莞办公）,python,天河区,11000-15000,3-5年,本科
Python开发,python,越秀区,10000-15000,3-5年,大专
流程TD（电影部门）,python,天河区,15000-25000,3-5年,大专
游戏服务端工程师,python,天河区,15000-22000,3-5年,本科
Python研发工程师(J10725),python,天河区,11000-18000,3-5年,大专
python高级开发工程师,python,越秀区,16000-18000,3-5年,本科
openstack开发工程师,python,天河区,18000-35000,3-5年,本科
后端开发工程师,python,天河区,8000-13000,3-5年,本科
Python工程师,python,天河区,12000-15000,3-5年,本科
python开发工程师（南航，双休）,python,白云区,12000-18000,3-5年,本科
Python开发交付工程师,python,天河区,12000-24000,3-5年,本科
python开发（AI产品）,python,海珠区,10000-15000,3-5年,本科
python全栈开发工程师,python,海珠区,15000-25000,3-5年,本科
Python开发工程师,python,黄埔区,12000-18000,3-5年,本科
Python岗-Copilot 研发（希望在总部~）,python,天河区,25000-40000,3-5年,本科
中高级后台开发,python,海珠区,16000-29000,3-5年,本科
rpa开发工程师,python,天河区,10000-15000,3-5年,本科
python后端开发,python,天河区,12000-22000,3-5年,大专
Python开发（稳定&不卷）,python,天河区,10000-15000,3-5年,本科
python开发工程师,python,番禺区,12000-14000,3-5年,大专
python开发工程师,python,天河区,14000-19000,3-5年,本科
Python工程师,python,天河区,12000-18000,3-5年,本科
APP逆向工程师,python,天河区,12000-20000,3-5年,大专
erlang主程,python,天河区,25000-40000,3-5年,本科
软件工程师,python,黄埔区,8000-12000,3-5年,本科
ai开发工程师-兼职,python,天河区,5000-10000,3-5年,本科
python运维开发工程师,python,天河区,11000-15000,3-5年,本科
Python,python,天河区,10000-15000,3-5年,本科
爬虫工程师,python,天河区,13000-20000,3-5年,本科
Python,python,天河区,15000-25000,3-5年,本科
资深python开发,python,广州,25000-50000,3-5年,本科
Python后端开发工程师（周末双休）,python,天河区,11000-13000,3-5年,大专
rpa开发工程师,python,白云区,10000-15000,3-5年,大专
后端开发工程师,python,天河区,25000-50000,3-5年,本科
python开发工程师,python,白云区,8000-12000,3-5年,大专
odoo开发工程师（双休）,python,天河区,15000-17000,3-5年,大专
虚拟化研发工程师,python,海珠区,15000-30000,3-5年,本科
交易风险量化开发工程师-Python,python,广州,35000-40000,3-5年,本科
高级Python开发工程师（居家办公）,python,南沙区,15000-20000,3-5年,本科
中级python开发工程师,python,黄埔区,15000-20000,3-5年,本科
资深客户端开发工程师（工具向）,python,黄埔区,25000-50000,3-5年,本科
金融工程师,python,广州,25000-35000,3-5年,本科
python开发工程师,python,番禺区,14000-20000,3-5年,本科
python开发,python,海珠区,15000-20000,3-5年,本科
python高级开发工程师,python,番禺区,7000-12000,3-5年,大专
Python开发（英语良好）,python,天河区,18000-30000,3-5年,本科
后端python工程师（非RPA),python,广州,20000-24000,3-5年,大专
python培训讲师,python,白云区,10000-15000,3-5年,大专
Odoo开发实施顾问,python,番禺区,13000-18000,3-5年,本科
Python开发工程师,python,海珠区,12000-24000,3-5年,本科
Java数据采集,python,黄埔区,12000-17000,3-5年,大专
Python,python,广州,14000-15000,3-5年,大专
web后端开发工程师,python,黄埔区,15000-30000,3-5年,本科
python高级开发工程师,python,天河区,18000-27000,3-5年,本科
后端开发工程师,python,番禺区,16000-25000,3-5年,本科
自动化脚本开发,python,白云区,8000-10000,3-5年,大专
Python工程师,python,天河区,8000-13000,3-5年,本科
爬虫工程师（python方向）,python,番禺区,10000-15000,3-5年,本科
python全栈工程师,python,越秀区,8000-13000,3-5年,大专
大模型研发工程师,python,黄埔区,16000-22000,3-5年,本科
中级RPA开发工程师,python,海珠区,7000-10000,3-5年,大专
业务策略开发工程师（后端向） (MJ000434),python,天河区,25000-40000,3-5年,本科
python兼职,python,天河区,8000-13000,3-5年,大专
高级python开发工程师（RPA及AI方向）,python,天河区,15000-20000,3-5年,本科
python工程师,python,天河区,13000-17000,3-5年,本科
python工程师,python,海珠区,8000-13000,3-5年,本科
Prompt Engineering工程师,python,天河区,10000-15000,3-5年,本科
量化开发工程师,python,天河区,15000-25000,3-5年,本科
python程序员,python,越秀区,45-60,3-5年,本科
python后端开发,python,番禺区,12000-20000,3-5年,本科
python开发,python,白云区,11000-22000,3-5年,本科
python高级工程师,python,白云区,9000-14000,3-5年,本科
【央企急招！】客户端全栈工程师（AI工程师,python,广州,20000-35000,3-5年,本科
Java中高级开发工程师,python,白云区,10000-15000,3-5年,本科
AI平台开发,python,海珠区,15000-30000,3-5年,本科
QT软件开发工程师,python,海珠区,12000-20000,3-5年,本科
后端研发,python,广州,20000-30000,3-5年,本科
后端开发（AIGC方向）,python,广州,30000-45000,3-5年,本科
高级-Python后端开发工程师,python,海珠区,15000-25000,3-5年,本科
python工程师,python,天河区,12000-20000,3-5年,本科
python服务端工程师,python,天河区,15000-18000,3-5年,本科
手游脚本开发攻城狮,python,黄埔区,8000-13000,3-5年,大专
Python工程师,python,海珠区,11000-16000,3-5年,本科
高级python开发工程师,python,白云区,15000-20000,3-5年,大专
中级后端开发工程师,python,海珠区,15000-20000,3-5年,本科
中级python开发工程师,python,天河区,8000-13000,3-5年,本科
后端开发（C++/python/golang）-北广深,python,海珠区,30000-60000,3-5年,本科
开发工程师（Telegram Bot）,python,天河区,15000-25000,3-5年,本科
python爬虫开发工程师,python,番禺区,12000-24000,3-5年,大专
Python后端开发工程师（五险一金）,python,番禺区,8000-13000,3-5年,本科
Python开发工程师（小说短剧）,python,番禺区,14000-19000,3-5年,大专
python后端开发工程师,python,海珠区,12000-20000,1-3年,大专
Python开发（中高级）,python,海珠区,10000-15000,3-5年,大专
Python工程师,python,天河区,6000-8000,1-3年,本科
爬虫工程师,python,白云区,10000-15000,1-3年,本科
Python高级开发工程师,python,黄埔区,12000-20000,3-5年,本科
脚本开发,python,天河区,10000-15000,5-10年,大专
python后端,python,天河区,8000-9000,3-5年,本科
后台开发工程师,python,番禺区,13000-16000,3-5年,大专
兼职人工智能--课程视频兼职讲师,python,海珠区,15000-16000,3-5年,本科
中级python开发工程师,python,海珠区,15000-16000,3-5年,本科
视频AI工程师,python,天河区,11000-20000,3-5年,本科
少儿编程老师(Python/java)/五险一金,python,黄埔区,10000-15000,1-3年,本科
高级python工程师,python,天河区,20000-30000,5-10年,本科
python高级工程师,python,番禺区,15000-20000,3-5年,本科
量化指标程序员,python,天河区,6000-8000,5-10年,本科
大数据算法工程师,python,番禺区,10000-15000,经验不限,本科
后端工程师,python,南沙区,15000-25000,1-3年,本科
RPA开发工程师(英文),python,越秀区,8000-13000,经验不限,本科
开发(试用期不打折+包餐+年终奖+双休+线上,python,天河区,13000-20000,1-3年,大专
高级python开发工程师,python,番禺区,3000-6000,1年以内,大专
python开发工程师,python,越秀区,7000-10000,3-5年,本科
后端开发工程师,python,番禺区,10000-15000,5-10年,本科
Python工程师,python,天河区,6000-9000,1-3年,本科
python大数据开发工程师,python,越秀区,15000-30000,3-5年,本科
python高级开发工程师#兼职,python,海珠区,9000-13000,5-10年,本科
python开发工程师,python,广州,20000-23000,3-5年,本科
WEB全栈工程师,python,番禺区,8000-10000,3-5年,本科
软件二次开发工程师,python,黄埔区,12000-18000,3-5年,本科
python开发工程师，接受应届,python,天河区,15000-30000,经验不限,本科
rpa实施开发工程师,python,黄埔区,6000-11000,1-3年,大专
openstack云开发工程师,python,天河区,15000-30000,3-5年,本科
Python,python,天河区,8000-15000,3-5年,大专
"软件工程师 （全栈: Python, React）",python,越秀区,12000-14000,3-5年,本科
虚拟网络研发工程师python,python,越秀区,12000-24000,1-3年,本科
研发效能工程师-天翼视联,python,广州,20000-30000,5-10年,本科
ai人工智能开发工程师,python,海珠区,18000-30000,3-5年,本科
初级 Python 后端开发工程师,python,天河区,10000-13000,1-3年,本科
移动app开发工程师,python,天河区,8000-13000,1-3年,大专
高级数据工程师,python,天河区,12000-20000,3-5年,本科
python工程师,python,增城区,10000-12000,1-3年,本科
Python技术/编程开发工程师,python,白云区,10000-15000,1-3年,大专
Python高级开发工程师,python,黄埔区,12000-20000,3-5年,本科
python,python,黄埔区,10000-15000,1年以内,大专
python服务器开发工程师,python,广州,25000-50000,3-5年,大专
Odoo开发工程师,python,番禺区,9000-13000,1-3年,大专
python高级开发工程师,python,番禺区,15000-30000,1-3年,本科
RPA开发（管培生）（双休）,python,天河区,7000-9000,1年以内,本科
python编程讲师,python,广州,6000-8000,1-3年,大专
爬虫工程师,python,天河区,18000-25000,1-3年,大专
Python/大数据分析师,python,天河区,3000-6000,1-3年,大专
python后端工程师,python,黄埔区,12000-18000,3-5年,本科
后端研发工程师,python,天河区,25000-50000,3-5年,本科
后端开发工程师,python,天河区,12000-18000,3-5年,本科
python开发工程师,python,南沙区,14000-18000,3-5年,本科
Odoo开发工程师,python,番禺区,15000-18000,3-5年,本科
中级Python开发工程师,python,天河区,10000-12000,1-3年,大专
python开发工程师,python,广州,20000-30000,经验不限,大专
后端开发工程师,python,越秀区,20000-30000,3-5年,本科
python高级开发工程师,python,天河区,6000-9000,3-5年,大专
高级python开发工程师,python,番禺区,11000-19000,1-3年,本科
python高级开发工程师,python,越秀区,11000-22000,5-10年,本科
Python开发工程师,python,番禺区,15000-20000,3-5年,本科
pyqt开发工程师,python,黄埔区,7000-10000,1-3年,本科
高级Python后端开发,python,天河区,15000-22000,3-5年,本科
VBA开发工程师（线上兼职）-广州,python,番禺区,50-100,经验不限,本科
AI游戏研发(服务端),python,天河区,13000-26000,3-5年,本科
后端开发工程师（python方向-服装行业）,python,广州,15000-25000,1-3年,本科
Python 全栈开发,python,海珠区,10000-15000,3-5年,本科
后端研发,python,天河区,20000-30000,3-5年,本科
python软件工程师,python,黄埔区,6000-11000,经验不限,大专
Technology Lead,python,广州,30000-50000,5-10年,本科
python全栈开发工程师,python,天河区,1000-1500,经验不限,本科
后端开发,python,海珠区,8000-12000,3-5年,本科
python高级开发工程师,python,天河区,15000-20000,5-10年,本科
PYTHON工程师,python,番禺区,15000-16000,3-5年,本科
RPA开发工程师,python,越秀区,8000-13000,3-5年,大专
RPA开发工程师,python,越秀区,7000-12000,经验不限,本科
python后端开发工程师,python,番禺区,8000-10000,3-5年,大专
AI工程研发工程师,python,越秀区,22000-40000,3-5年,本科
高级python开发工程师,python,天河区,15000-18000,3-5年,本科
Python高级开发工程师,python,番禺区,12000-24000,5-10年,本科
软件开发,python,广州,20000-40000,5-10年,本科
AI开发者工具（远程，python）,python,天河区,3000-4000,1-3年,本科
python高级开发工程师,python,越秀区,85-150,3-5年,本科
python开发工程师,python,天河区,10000-15000,3-5年,大专
软件开发,python,天河区,9000-10000,3-5年,本科
python开发工程师,python,荔湾区,11000-22000,1-3年,本科
游戏后端开发工程师,python,海珠区,25000-30000,3-5年,本科
Python量化开发,python,黄埔区,13000-25000,3-5年,大专
Python开发工程师,python,番禺区,8000-12000,1-3年,本科
Python开发工程师,python,黄埔区,10000-15000,3-5年,大专
互联网-无人车后端研发工程师,python,黄埔区,15000-25000,1-3年,本科
资深后端开发工程师-飞书人事,python,海珠区,30000-60000,3-5年,本科
高级软件工程师,python,海珠区,15000-30000,3-5年,本科
python开发工程师,python,白云区,10000-15000,1-3年,本科
Python游戏大厅开发工程师,python,天河区,11000-22000,3-5年,大专
python开发工程师,python,番禺区,12000-24000,1-3年,本科
前后端开发,python,南沙区,4000-9000,经验不限,大专
Python开发！一线城市！一本！,python,广州,15000-30000,经验不限,本科
Odoo开发工程师,python,白云区,5000-10000,1-3年,本科
java/python/前端/c++（远程线上面试）,python,天河区,15000-30000,经验不限,本科
高级python开发工程师,python,海珠区,14000-24000,3-5年,大专
游戏服务端开发工程师,python,广州,20000-40000,1-3年,本科
oa开发工程师（钉钉宜搭）,python,白云区,5000-6000,1-3年,大专
Python  开发工程师,python,越秀区,10000-15000,3-5年,本科
python工程师/实习生,python,天河区,4000-9000,经验不限,本科
